Company Name,Ticker,Industry
"First Majestic Silver","AG","Mining - Silver"
"Avino Silver","ASM","Mining - Silver"
"Alexco","AXU","Mining - Silver"
"Buenaventura Mining","BVN","Mining - Silver"
"Endeavour Silver","EXK","Mining - Silver"
"Fresnillo","FNLPF","Mining - Silver"
"Fortuna Silver Mines","FSM","Mining - Silver"
"Gatos Silver","GATO","Mining - Silver"
"Great Panther Mining Limited","GPL","Mining - Silver"
"Hochschild Mining","HCHDF","Mining - Silver"
"Hecla Mining","HL","Mining - Silver"
"MAG Silver","MAG","Mining - Silver"
"Pan American Silver","PAAS","Mining - Silver"
"Vizsla Silver Corp.","VZLA","Mining - Silver"
